Protein.Group	Protein.Names	Genes	First.Protein.Description	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_1_A50414_RD1_1_10360.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_2_A50418_RD5_1_10374.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_3_A50422_RD9_1_10382.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_4_A50426_RD13_1_10390.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_5_A50430_RD17_1_10398.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_1_A50417_RD4_1_10372.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_2_A50421_RD8_1_10380.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_3_A50425_RD12_1_10388.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_4_A50429_RD16_1_10396.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_5_A50433_RD20_1_10404.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_1_A50415_RD2_1_10368.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_2_A50419_RD6_1_10376.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_3_A50423_RD10_1_10384.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_4_A50427_RD14_1_10392.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_5_A50431_RD18_1_10400.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_1_A50416_RD3_1_10370.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_2_A50420_RD7_1_10378.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_3_A50424_RD11_1_10386.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_4_A50428_RD15_1_10394.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_5_A50432_RD19_1_10402.d
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B		487745	366666	506353	474192	536237	494280	473801	495619	536853	500657	401910	409013	516370	393218	494707	443388	459160	512939	574144	590029
A0A0U1RR11;A0A0U1RRI6;P0DPI3	CENL1_HUMAN;CENL2_HUMAN;CENL3_HUMAN	CENPVL1;CENPVL2;CENPVL3		49930.2							104157	39376.8		54415.7	66141.5			70045.6		90213.6	74642.9	63717.5	
A0A1B0GUS4	UB2L5_HUMAN	UBE2L5			31714.1	26939.6	26423	44805			97938.8			26288	34002.4		16560.4	42964.3			18518.3		41304
A0AV96	RBM47_HUMAN	RBM47		94920.9	129396	126224	130703	131746	70629.9	106103	130819	112139	109649	118103	135669	127656	136037	130957	111417	81741	87365.8	79920.1	104756
A0AVF1	IFT56_HUMAN	IFT56		22614.9	26875.5	22830.1	12392.1	14098.4	18120.4	20666.4	16602.4	18469.1	21757.9	26958.7	13453.4	17242.4	12409.9	15979.1	22778.1	19262.7	20927.1	15072.4	13724
A0AVK6	E2F8_HUMAN	E2F8		23562	21644.4	21689.2	11049.3	21570.1	14977	13435.6	14211.4	19781.5	12769.2	26484.8	16760.4	7630.11	13059.5	19453.5	15434.8	12560.9	16870.8	11587	10249.4
A0AVT1	UBA6_HUMAN	UBA6		213573	178462	185042	236865	222303	209759	200866	225273	191201	190475	174069	227030	221408	192976	183030	145414	154376	159439	129331	188933
A0FGR8	ESYT2_HUMAN	ESYT2		434596	456272	473467	488445	483504	491925	473521	478121	460405	447199	485409	431667	458696	467212	496464	522279	536736	589073	583458	607261
A0JLT2	MED19_HUMAN	MED19		10106.9	13039.4	12515.6	14966.5	16759	8150.29	13445.9	19093.9	12629.8	17703.4	18515.9	12639.6	15252	14976.1	14353.3	22064.2	16763.4	13090.3		23774.5
A0JNW5	BLT3B_HUMAN	BLTP3B		44004.5	48207.4	51913.4	45100.1	49564	42405.7	45980.1	45196	47030.3	44826.2	54465.2	43597.8	42413.5	39560.6	51968.7	42975.3	42050.5	41485.8	36869.7	37149.2
A0MZ66	SHOT1_HUMAN	SHTN1		51784.8	60966.6	67137.8	92283.8	83898.9	61707.4	53049.2	55380.6	57366.5	44061.6	49574.8	87162.1	110292	59804.2	57455.6	45791.3	51795	42999.7	43739.9	72221.3
A0PJW6	TM223_HUMAN	TMEM223		28382.1	21073	24413.2	26920.4	23056	33738.6	25557.1	19817.8	23691	27319.9	19360.8	28200	20491.3	28520.7	20324	29457.6	27778.4	31043.1	37395.4	31407.9
A1A4S6	RHG10_HUMAN	ARHGAP10		29190.9	31625.4	26525.7	18263.2	22453	23193.5	24495	22013	26432.7	29975.8	28227.1	21324.9	22708.7	21825	36249.5	22162.6	21230.4	15247.5	22384	23368.5
A1L0T0	HACL2_HUMAN	ILVBL		163216	183738	165954	161039	158717	155736	174124	171091	148432	160387	163395	166067	157581	145445	148421	174964	197630	203744	162166	206806
A1L390	PKHG3_HUMAN	PLEKHG3		10378.7	16457.2	15782.4	13190.1	15487.2	9154.56	11848.1	12140.5	12666.9	11374.8	13014.6	15937.9	17649.7	7189.06	16031	13135.9	11454.1	12080.4	6052.19	5922.27
A1X283	SPD2B_HUMAN	SH3PXD2B		15613.3	13966	21536.3	18454.6	19871.8	14915.5	15143.2	21292.8	18869.4	17006.1	14325	18542.4	24473.4	16259.3	21324.6	16766	22415.5	28266	11095.6	12223.5
A2A288	ZC12D_HUMAN	ZC3H12D		34744.9	35277.8	36464.8	29507.1	37045.5	29832.8	32336.4	35937.6	36173.4	34373.9	38517.1	24592.8	33820.1	22214.7	30734.1	31384.7	34413.7	32857.5	35422.1	29836.8
A2AJT9	BCLA3_HUMAN	BCLAF3		15863.5	25748.4	19042.7	24421.6	29783.3	8613.09	26218	28064.5	17774.4	16396	23839	23658	26220.4		17913.7	26749.8	23325	26562.5	17771.4	25732.7
A2RRP1	NBAS_HUMAN	NBAS		144379	147401	147306	140087	134846	146404	146066	137746	155374	146548	143083	144784	138647	125560	146392	154272	156259	165722	158020	152040
A2RTX5	SYTC2_HUMAN	TARS3		18447.9	15599.6	19356.3	18801.5	23403.3	15293.1	17082.1	20333.5	17210.1	22224.3	22893	16910.1	19552.4	26280.4	20541.6	14096.6	24826.2	14967.3	15844.3	16689.7
